ID;Zona Urbana/Rural;Usuário;Você tem título de eleitor e vota em Itaíba?;Em qual localidade você mora?;Sexo;Idade;Escolaridade;Renda da Família;Vamos começar a pesquisa. Por favor, reflita. Neste ano, 2024, terá eleição para Prefeitura de Itaíba. Você já tem candidato?;Se sim, quem?;Considerando opções, se os candidatos forem estes, em quem você votaria?;E, considerando estas diferentes opções, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;E, se as opções fossem estas, em quem você votaria?;Na sua opinião, qual seria o candidato a vice-prefeito ideal para Rogéria Martins?;Mudando de assunto. Na sua opinião, a Prefeita de Itaíba, Regina da Saúde, está realizando uma administração:;5 ̊) De um modo geral, você aprova ou desaprova a gestão da Prefeita de Itaíba, Regina da Saúde?;Em relação ao Governo Estadual, a governadora Raquel Lyra, está realizando uma administração:;Em relação ao Governo Federal, o presidente Lula, está realizando uma administração:;Agora, sobre as dificuldades do dia a dia, na sua opinião, qual é o principal problema de Itaíba?;Agora, avalie cada área do município entre ótimo, bom, regular, ruim ou péssimo: Saúde;Educação;Segurança;Limpeza;Calçamento/Estradas;Iluminação Pública;Assistência Social/Ação Social;Transporte (Carro da Saúde/Escolar);Lazer (Festas, Incentivo a Cultura, Esportes);Agricultura (Apoio ao Produtor Rural);Abastecimento de Água;Na sua opinião, qual obra ou ação você gostaria que fosse realizada pelo próximo prefeito(a) de Itaíba?;Ainda sobre política, reflita. Qual o vereador mais atuante/que mais trabalha por Itaíba?;Para cada um desses nomes, diga se VOTARIA COM CERTEZA, PODERIA VOTAR, NÃO VOTARIA DE JEITO NENHUM ou NÃO CONHECE O SUFICIENTE PARA OPINAR: Rogéria Martins;Pedro Pilota;Valdo do Pipa;Por último, reflita. Você votaria num candidato(a) apoiado pela atual prefeita Regina da Saúde?
329;Zona Rural;Andrynnes ;Sim;Assentamento Santa Luzia;Masculino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Rogéria Martins;Rogéria Martins;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Rogéria Martins;Valdo do Pipa;Regular;Aprova;Regular;Regular;Abastecimento de Água;Bom;Bom;Regular;Bom;Regular;Bom;Bom;Bom;Regular;Regular;Ruim;Calçamento de Ruas;Nenhum;Votaria com certeza;Poderia votar;Poderia votar;Depende do candidato
1;Zona Urbana;Wenia ;Sim;Centro;Feminino;25 a 34 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Boa;Aprova;Boa;Boa;Não sabe/Não respondeu;Bom;Bom;Regular;Regular;Regular;Regular;Ruim;Regular;Regular;Regular;Regular;Recuperar e construir escolas;Jorge do Cachorro Quente;Poderia votar;Não votaria de jeito nenhum;Votaria com certeza;Sim, votaria
3;Zona Urbana;Wenia ;Sim;Centro;Masculino;45 a 59 anos;Analfabeto/Lê e Escreve;Prefere não responder;Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Boa;Aprova;Boa;Boa;Não sabe/Não respondeu;Bom;Bom;Regular;Regular;Ruim;Ruim;Regular;Regular;Bom;Regular;Regular;Programas de Moradias;Não sabe/Não respondeu;Poderia votar;Não votaria de jeito nenhum;Votaria com certeza;Sim, votaria
4;Zona Urbana;Luciana ;Sim;Centro;Feminino;34 a 44 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Regular;Desaprova;Regular;Regular;Geração de Emprego e Renda;Regular;Regular;Regular;Regular;Péssimo;Péssimo;Regular;Regular;Péssimo;Ruim;Bom;Atrair empresas e gerar empregos;Jorge do Cachorro Quente;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Votaria com certeza;Depende do candidato
5;Zona Rural;Manuela ;Sim;Distrito Negras;Masculino;25 a 34 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Boa;Aprova;Boa;Boa;Estradas/Calçamento/Asfalto;Bom;Bom;Regular;Bom;Péssimo;Bom;Regular;Bom;Bom;Ruim;Péssimo;Manutenção das Estradas;Jorge do Cachorro Quente;Poderia votar;Não votaria de jeito nenhum;Votaria com certeza;Depende do candidato
7;Zona Rural;Manuela ;Sim;Distrito Negras;Feminino;16 a 24 anos;Até o ensino fundamental;Prefere não responder;Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Não sabe/Não respondeu;;Regular;Aprova;Regular;Ótima;Segurança;Regular;Bom;Péssimo;Bom;Regular;Regular;Bom;Ruim;Ruim;Regular;Ruim;Manutenção das Estradas;Jorge do Cachorro Quente;Poderia votar;Não votaria de jeito nenhum;Votaria com certeza;Depende do candidato
8;Zona Rural;Manuela ;Sim;Distrito Negras;Feminino;34 a 44 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Regular;Regular;Educação;Bom;Regular;Ruim;Regular;Bom;Bom;Regular;Regular;Bom;Regular;Péssimo;Creche;Lula do Doce;Poderia votar;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
10;Zona Rural;Arthur;Sim;Distrito Negras;Masculino;25 a 34 anos;Até o ensino médio;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Ruim;Desaprova;Boa;Boa;Saúde;Péssimo;Regular;Bom;Bom;Bom;Bom;Regular;Regular;Regular;Regular;Bom;Melhorias no Hospital;Nenhum;Não votaria de jeito nenhum;Votaria com certeza;Não votaria de jeito nenhum;Não votaria
12;Zona Rural;Arthur;Sim;Distrito Negras;Masculino;34 a 44 anos;Até o ensino médio;Prefere não responder;Não;Não sabe/Não respondeu;Valdo do Pipa;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;Nenhum/Branco/Nulo;;Boa;Aprova;Regular;Ótima;Saúde;Péssimo;Bom;Regular;Ótimo;Bom;Regular;Regular;Bom;Regular;Regular;Ótimo;Melhorias e novos postos de saúde;Nenhum;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
13;Zona Rural;Arthur;Sim;Distrito Negras;Feminino;25 a 34 anos;Até o ensino médio;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Ótima;Aprova;Regular;Regular;Nenhum;Bom;Bom;Bom;Bom;Bom;Bom;Regular;Bom;Regular;Regular;Ruim;Recuperar e construir escolas;Nenhum;Não votaria de jeito nenhum;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
15;Zona Rural;Arthur;Sim;Distrito Negras;Feminino;34 a 44 anos;Até o ensino médio;Prefere não responder;Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Péssima;Desaprova;Regular;Boa;Saúde;Péssimo;Bom;Péssimo;Bom;Bom;Ruim;Regular;Regular;Regular;Regular;Péssimo;Recuperar e construir escolas;Jorge do Cachorro Quente;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
16;Zona Rural;Arthur;Sim;Distrito Negras;Masculino;34 a 44 anos;Até o ensino médio;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Regular;Não sabe/Não respondeu;Boa;Ótima;Segurança;Bom;Bom;Péssimo;Bom;Regular;Bom;Regular;Bom;Regular;Regular;Bom;Investir mais em segurança;Lula do Doce;Não votaria de jeito nenhum;Votaria com certeza;Não votaria de jeito nenhum;Depende do candidato
17;Zona Rural;Arthur;Sim;Distrito Negras;Masculino;34 a 44 anos;Até o ensino médio;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Regular;Boa;Saúde;Péssimo;Regular;Bom;Bom;Regular;Bom;Regular;Regular;Regular;Regular;Bom;Calçamento de Ruas;Lula do Doce;Não votaria de jeito nenhum;Votaria com certeza;Poderia votar;Depende do candidato
18;Zona Rural;Manuela ;Sim;Distrito Negras;Feminino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Regular;Aprova;Boa;Ótima;Iluminação;Bom;Bom;Regular;Regular;Regular;Ruim;Regular;Bom;Regular;Bom;Ruim;Manutenção das Estradas;Jorge do Cachorro Quente;Não conhece o suficiente;Não conhece o suficiente;Votaria com certeza;Sim, votaria
20;Zona Rural;Manuela ;Sim;Distrito Negras;Feminino;25 a 34 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Boa;Aprova;Ruim;Ótima;Não sabe/Não respondeu;Bom;Bom;Regular;Bom;Bom;Regular;Regular;Bom;Ruim;Bom;Regular;Creche;Lula do Doce;Poderia votar;Poderia votar;Votaria com certeza;Depende do candidato
21;Zona Rural;Andrynnes ;Sim;Distrito Negras;Masculino;60 anos ou mais;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Não sabe/Não respondeu;;Boa;Aprova;Regular;Boa;Saúde;Bom;Regular;Bom;Bom;Ruim;Bom;Regular;Bom;Bom;Regular;Bom;Manutenção das Estradas;Nenhum;Poderia votar;Poderia votar;Votaria com certeza;Depende do candidato
22;Zona Rural;Andrynnes ;Sim;Distrito Negras;Masculino;34 a 44 anos;Até o ensino fundamental;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Ótima;Aprova;Regular;Ruim;Estradas/Calçamento/Asfalto;Bom;Bom;Bom;Ótimo;Ruim;Bom;Bom;Bom;Bom;Ótimo;Bom;Calçamento de Ruas;Lula do Doce;Poderia votar;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
23;Zona Rural;Andrynnes ;Sim;Distrito Negras;Masculino;34 a 44 anos;Analfabeto/Lê e Escreve;Prefere não responder;Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Não sabe/Não respondeu;;Ótima;Aprova;Regular;Boa;Estradas/Calçamento/Asfalto;Bom;Bom;Bom;Bom;Péssimo;Bom;Regular;Bom;Bom;Bom;Bom;Calçamento de Ruas;Jorge do Cachorro Quente;Poderia votar;Poderia votar;Votaria com certeza;Sim, votaria
30;Zona Rural;Riquinho ;Sim;Distrito Negras;Feminino;34 a 44 anos;Até o ensino fundamental;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Regular;Boa;Geração de Emprego e Renda;Ótimo;Bom;Péssimo;Bom;Regular;Ruim;Bom;Bom;Ruim;Regular;Ruim;Investir mais em segurança;Lula do Doce;Poderia votar;Votaria com certeza;Poderia votar;Sim, votaria
31;Zona Rural;Riquinho ;Sim;Distrito Negras;Masculino;45 a 59 anos;Até o ensino fundamental;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Boa;Ótima;Segurança;Ótimo;Ótimo;Péssimo;Bom;Bom;Bom;Bom;Bom;Ruim;Bom;Bom;Calçamento de Ruas;Normando ;Poderia votar;Votaria com certeza;Poderia votar;Sim, votaria
32;Zona Rural;Riquinho ;Sim;Distrito Negras;Masculino;34 a 44 anos;Até o ensino fundamental;Prefere não responder;Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Boa;Ótima;Segurança;Bom;Bom;Péssimo;Bom;Regular;Bom;Bom;Regular;Ruim;Bom;Regular;Creche;Lula do Doce;Poderia votar;Votaria com certeza;Poderia votar;Sim, votaria
33;Zona Rural;Riquinho ;Sim;Distrito Negras;Feminino;16 a 24 anos;Até o ensino médio;Prefere não responder;Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Rogéria Martins;Pedro Pilota;Pedro Pilota;;Regular;Aprova;Regular;Boa;Segurança;Bom;Bom;Ruim;Bom;Regular;Bom;Bom;Bom;Regular;Bom;Regular;Recuperação e mais Praças;Jorge do Cachorro Quente;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
34;Zona Rural;Riquinho ;Sim;Distrito Negras;Masculino;60 anos ou mais;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Regular;Aprova;Ruim;Ótima;Infraestrutura;Bom;Bom;Regular;Regular;Regular;Bom;Bom;Bom;Ruim;Regular;Regular;Calçamento de Ruas;Jorge do Cachorro Quente;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Votaria com certeza;Não votaria
35;Zona Rural;Riquinho ;Sim;Distrito Negras;Masculino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Valdo do Pipa;Pedro Pilota;Pedro Pilota;;Regular;Aprova;Regular;Regular;Estradas/Calçamento/Asfalto;Ótimo;Bom;Bom;Regular;Ruim;Bom;Bom;Bom;Regular;Regular;Bom;Calçamento de Ruas;Celso;Não votaria de jeito nenhum;Poderia votar;Poderia votar;Depende do candidato
36;Zona Rural;Riquinho ;Sim;Distrito Negras;Masculino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Regular;Aprova;Regular;Ótima;Saneamento Básico;Bom;Bom;Péssimo;Regular;Ruim;Bom;Regular;Bom;Péssimo;Regular;Péssimo;Investir mais em segurança;Celso;Poderia votar;Poderia votar;Poderia votar;Depende do candidato
37;Zona Rural;Riquinho ;Sim;Distrito Negras;Masculino;34 a 44 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Regular;Ótima;Segurança;Bom;Ótimo;Péssimo;Regular;Regular;Regular;Bom;Bom;Ruim;Regular;Péssimo;Recuperação e mais Praças;Lula do Doce;Poderia votar;Votaria com certeza;Poderia votar;Sim, votaria
38;Zona Rural;Rochelle ;Sim;Distrito Negras;Masculino;25 a 34 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Rogéria Martins com o apoio do ex-prefeito Claudiano Martins;Rogéria Martins;Valdo do Pipa;Não sabe/Não respondeu;;Ruim;Desaprova;Ruim;Boa;Administração;Ruim;Ruim;Ruim;Ruim;Ruim;Ruim;Ruim;Ruim;Ruim;Não sabe/Não respondeu;Ruim;Estrutura da cidade;Não sabe/Não respondeu;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Poderia votar;Não votaria
39;Zona Rural;Rochelle ;Sim;Distrito Negras;Masculino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Pedro Pilota com o apoio da prefeita Regina da Saúde;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Boa;Aprova;Regular;Ótima;Segurança;Bom;Bom;Regular;Bom;Ruim;Bom;Regular;Bom;Bom;Regular;Regular;Calçamento de Ruas;Jorge do Cachorro Quente;Poderia votar;Não votaria de jeito nenhum;Votaria com certeza;Depende do candidato
44;Zona Rural;Rochelle ;Sim;Distrito Negras;Feminino;25 a 34 anos;Até o ensino fundamental;Prefere não responder;Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Ruim;Desaprova;Não sabe/Não respondeu;Boa;Geração de Emprego e Renda;Regular;Bom;Ruim;Bom;Regular;Bom;Regular;Bom;Regular;Não sabe/Não respondeu;Regular;Investir mais em segurança;Jorge do Cachorro Quente;Não votaria de jeito nenhum;Não votaria de jeito nenhum;Votaria com certeza;Não votaria
48;Zona Urbana;Luciana ;Sim;Centro;Masculino;34 a 44 anos;Até o ensino médio;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Pedro Pilota;;Boa;Aprova;Regular;Péssima;Agricultura;Bom;Bom;Regular;Bom;Regular;Regular;Bom;Bom;Ruim;Péssimo;Ótimo;Resgatar Festa do Leite;Jorge do Cachorro Quente;Não votaria de jeito nenhum;Votaria com certeza;Votaria com certeza;Sim, votaria
49;Zona Urbana;Luciana ;Sim;Centro;Masculino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Pedro Pilota;;Boa;Aprova;Regular;Regular;Geração de Emprego e Renda;Bom;Bom;Regular;Regular;Péssimo;Regular;Regular;Regular;Péssimo;Ruim;Regular;Atrair empresas e gerar empregos;Jorge do Cachorro Quente;Não votaria de jeito nenhum;Poderia votar;Votaria com certeza;Depende do candidato
50;Zona Urbana;Luciana ;Sim;Centro;Masculino;34 a 44 anos;Até a faculdade ou mais;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Não;Não sabe/Não respondeu;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Boa;Aprova;Boa;Boa;Esportes;Bom;Bom;Regular;Bom;Péssimo;Regular;Bom;Bom;Péssimo;Regular;Bom;Atrair empresas e gerar empregos;Jessé;Poderia votar;Poderia votar;Votaria com certeza;Depende do candidato
53;Zona Urbana;Luciana ;Sim;Centro;Feminino;34 a 44 anos;Até o ensino médio;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Pedro Pilota;;Ótima;Aprova;Boa;Ótima;Geração de Emprego e Renda;Bom;Ótimo;Ótimo;Ótimo;Regular;Bom;Ótimo;Bom;Bom;Bom;Regular;Atrair empresas e gerar empregos;Eraldo Pequeno;Poderia votar;Poderia votar;Votaria com certeza;Sim, votaria
54;Zona Urbana;Luciana ;Sim;Centro;Feminino;25 a 34 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Valdo do Pipa;Pedro Pilota;Pedro Pilota;;Ótima;Aprova;Boa;Boa;Estradas/Calçamento/Asfalto;Ótimo;Ótimo;Ótimo;Ótimo;Regular;Bom;Bom;Ótimo;Bom;Ótimo;Regular;Calçamento de Ruas;Essio Tenório;Não votaria de jeito nenhum;Votaria com certeza;Poderia votar;Sim, votaria
55;Zona Urbana;Luciana ;Sim;Centro;Masculino;25 a 34 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;;Regular;Aprova;Regular;Boa;Estradas/Calçamento/Asfalto;Regular;Bom;Regular;Bom;Ruim;Regular;Regular;Bom;Bom;Ruim;Regular;Calçamento de Ruas;Nenhum;Não sabe/Não respondeu;Não sabe/Não respondeu;Não sabe/Não respondeu;Depende do candidato
56;Zona Urbana;Luciana ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Valdo do Pipa;Nenhum/Branco/Nulo;;Boa;Desaprova;Boa;Ótima;Infraestrutura;Ótimo;Ótimo;Regular;Bom;Péssimo;Regular;Bom;Bom;Ruim;Ruim;Regular;Calçamento de Ruas;Jorge do Cachorro Quente;Não sabe/Não respondeu;Não sabe/Não respondeu;Votaria com certeza;Depende do candidato
57;Zona Urbana;Luciana ;Sim;Centro;Feminino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Rogéria Martins;Pedro Pilota;Pedro Pilota;;Regular;Aprova;Péssima;Péssima;Geração de Emprego e Renda;Bom;Regular;Regular;Bom;Regular;Regular;Ótimo;Ótimo;Regular;Bom;Péssimo;Atrair empresas e gerar empregos;Jessé;Poderia votar;Votaria com certeza;Poderia votar;Sim, votaria
58;Zona Urbana;Luciana ;Sim;Centro;Feminino;45 a 59 anos;Até o ensino médio;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Regular;Ótima;Infraestrutura;Bom;Bom;Ruim;Bom;Regular;Bom;Ótimo;Ótimo;Bom;Bom;Bom;Não sabe/Não respondeu;Lula do Doce;Não votaria de jeito nenhum;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
59;Zona Urbana;Luciana ;Sim;Centro;Masculino;45 a 59 anos;Até o ensino fundamental;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Ótima;Aprova;Ótima;Ótima;Abastecimento de Água;Ótimo;Bom;Regular;Bom;Ruim;Bom;Ótimo;Bom;Ruim;Não sabe/Não respondeu;Péssimo;Não sabe/Não respondeu;Nenhum;Não votaria de jeito nenhum;Votaria com certeza;Não votaria de jeito nenhum;Sim, votaria
61;Zona Urbana;Luciana ;Sim;Centro;Masculino;25 a 34 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Valdo do Pipa;Pedro Pilota;Pedro Pilota;;Regular;Aprova;Regular;Regular;Geração de Emprego e Renda;Bom;Bom;Regular;Bom;Regular;Bom;Bom;Regular;Bom;Bom;Bom;Atrair empresas e gerar empregos;Não sabe/Não respondeu;Não votaria de jeito nenhum;Votaria com certeza;Poderia votar;Depende do candidato
63;Zona Rural;Andrynnes ;Sim;Povoado Jirau;Masculino;25 a 34 anos;Até o ensino fundamental;Prefere não responder;Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Rogéria Martins;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Boa;Ótima;Geração de Emprego e Renda;Bom;Bom;Bom;Bom;Regular;Bom;Bom;Bom;Bom;Regular;Bom;Cursos profissionalizantes;Osvaldo;Poderia votar;Votaria com certeza;Não votaria de jeito nenhum;Depende do candidato
64;Zona Rural;Andrynnes ;Sim;Povoado Jirau;Feminino;16 a 24 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Rogéria Martins;Pedro Pilota;Pedro Pilota;;Ótima;Aprova;Regular;Ótima;Lazer;Bom;Bom;Bom;Bom;Regular;Ruim;Ruim;Bom;Bom;Bom;Bom;Atrair empresas e gerar empregos;Osvaldo;Poderia votar;Poderia votar;Não votaria de jeito nenhum;Depende do candidato
66;Zona Urbana;Luciana ;Sim;Centro;Feminino;25 a 34 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Valdo do Pipa;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Regular;Boa;Geração de Emprego e Renda;Bom;Ótimo;Bom;Bom;Regular;Bom;Ótimo;Bom;Ruim;Regular;Bom;Atrair empresas e gerar empregos;Jessé;Não votaria de jeito nenhum;Votaria com certeza;Poderia votar;Depende do candidato
67;Zona Urbana;Luciana ;Sim;Centro;Feminino;34 a 44 anos;Até a faculdade ou mais;De 2 a 5 salários mínimos (de R$2.824,00 a R$7.060,00);Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Nenhum/Branco/Nulo;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Ruim;Boa;Infraestrutura;Bom;Bom;Bom;Bom;Ruim;Ruim;Bom;Bom;Ruim;Bom;Bom;Estrutura da cidade;Marcelo Pilota;Não votaria de jeito nenhum;Votaria com certeza;Poderia votar;Sim, votaria
68;Zona Urbana;Luciana ;Sim;Centro;Masculino;34 a 44 anos;Analfabeto/Lê e Escreve;Até 2 salários mínimos (até R$2.824,00);Não;Não sabe/Não respondeu;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Valdo do Pipa;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Não sabe/Não respondeu;Boa;Infraestrutura;Bom;Bom;Bom;Bom;Regular;Bom;Bom;Bom;Não sabe/Não respondeu;Ruim;Regular;Recuperar e construir escolas;Nenhum;Poderia votar;Votaria com certeza;Poderia votar;Depende do candidato
69;Zona Urbana;Luciana ;Sim;Centro;Feminino;34 a 44 anos;Até o ensino médio;Até 2 salários mínimos (até R$2.824,00);Sim;Pedro Pilota;Pedro Pilota;Pedro Pilota com o apoio da prefeita Regina da Saúde;Valdo do Pipa;Pedro Pilota;Pedro Pilota;;Boa;Aprova;Boa;Boa;Infraestrutura;Bom;Bom;Bom;Bom;Ruim;Bom;Ótimo;Bom;Regular;Regular;Ruim;Atrair empresas e gerar empregos;Nenhum;Poderia votar;Votaria com certeza;Poderia votar;Sim, votaria
